,trajectory,timestamp,nest_ids,class,action
18,"['(908.0, 250.0, 18.0, 27.0)', '(928.0, 251.0, 22.0, 21.0)']","[183.23333333333332, 184.16666666666666]","[11, 11]",Unknown,In Nest
19,"['(926.0, 278.0, 20.0, 18.0)', '(909.5, 264.5, 30.0, 23.0)']","[184.66666666666666, 184.96666666666667]","[11, 11]",Unknown,In Nest
20,"['(913.0, 262.5, 28.0, 23.0)', '(909.0, 262.0, 24.5, 23.5)']","[185.06666666666666, 185.13333333333333]","[11, 11]",Unknown,In Nest
21,"['(905.0, 257.0, 19.0, 32.0)', '(904.0, 257.0, 19.0, 43.0)']","[185.33333333333334, 185.43333333333334]","[11, 11]",Unknown,In Nest
22,"['(904.0, 262.0, 33.0, 29.0)', '(904.0, 249.0, 50.0, 40.0)']","[185.5, 185.56666666666666]","[11, 11]",Unknown,In Nest
23,"['(915.0, 263.0, 40.0, 19.0)', '(923.0, 264.0, 34.0, 34.0)']","[185.86666666666667, 186.23333333333332]","[11, 11]",Unknown,In Nest
24,"['(914.0, 266.0, 34.5, 33.0)', '(912.5, 330.5, 29.5, 40.0)']","[186.4, 188.83333333333334]","[11, 16]",wasp,Moving Between Nests
25,"['(291.0, 87.0, 29.0, 29.0)', '(295.0, 88.0, 24.0, 28.0)']","[189.96666666666667, 190.23333333333332]","[3, 3]",Unknown,In Nest
26,"['(329.0, 54.0, 28.0, 23.0)', '(123.0, 174.0, 38.0, 42.0)']","[190.53333333333333, 193.06666666666666]","[3, '']",carpenter_bee,Leaving Nest
27,"['(972.5, 574.75, 54.5, 51.75)', '(985.0, 326.0, 94.0, 106.0)']","[198.83333333333334, 198.9]","['', '']",Unknown,In Nest
28,"['(5.0, 5.0, 22.0, 25.0)', '(6.0, 5.0, 24.0, 25.0)']","[247.3, 247.43333333333334]","['', '']",Unknown,In Nest
29,"['(0.0, 0.0, 32.0, 37.0)', '(0.0, 0.0, 36.0, 35.0)']","[248.36666666666667, 248.53333333333333]","['', '']",Unknown,In Nest
30,"['(9.0, 0.0, 28.0, 18.0)', '(6.0, 0.0, 27.0, 22.0)']","[248.6, 249.1]","['', '']",Unknown,In Nest
31,"['(0.0, 0.0, 22.0, 18.0)', '(0.0, 8.0, 39.0, 25.0)']","[250.53333333333333, 251.86666666666667]","['', '']",Unknown,In Nest
32,"['(0.0, 0.0, 24.0, 26.0)', '(0.0, 0.0, 25.0, 24.0)']","[254.96666666666667, 255.03333333333333]","['', '']",Unknown,In Nest
33,"['(0.0, 0.0, 25.0, 24.0)', '(0.0, 0.0, 29.0, 29.0)']","[255.1, 255.3]","['', '']",Unknown,In Nest
34,"['(0.0, 0.0, 24.0, 30.0)', '(0.0, 0.0, 35.0, 29.0)']","[255.66666666666666, 256.3333333333333]","['', '']",Unknown,In Nest
