objects_num,classes,trajectory,timestamp,activity_period_id,frames,nest_ids,species,action
1,,"['(972.5, 574.75, 54.5, 51.75)', '(985.0, 326.0, 94.0, 106.0)']","[198.83333333333334, 198.9]",27,"(5965, 5967)","['', '']",Unknown,In Nest
1,,"['(5.0, 5.0, 22.0, 25.0)', '(6.0, 5.0, 24.0, 25.0)']","[247.3, 247.43333333333334]",28,"(7419, 7423)","['', '']",Unknown,In Nest
1,,"['(0.0, 0.0, 32.0, 37.0)', '(0.0, 0.0, 36.0, 35.0)']","[248.36666666666667, 248.53333333333333]",29,"(7451, 7456)","['', '']",Unknown,In Nest
1,,"['(9.0, 0.0, 28.0, 18.0)', '(6.0, 0.0, 27.0, 22.0)']","[248.6, 249.1]",30,"(7458, 7473)","['', '']",Unknown,In Nest
1,,"['(0.0, 0.0, 22.0, 18.0)', '(0.0, 8.0, 39.0, 25.0)']","[250.53333333333333, 251.86666666666667]",31,"(7516, 7556)","['', '']",Unknown,In Nest
1,,"['(0.0, 0.0, 24.0, 26.0)', '(0.0, 0.0, 25.0, 24.0)']","[254.96666666666667, 255.03333333333333]",32,"(7649, 7651)","['', '']",Unknown,In Nest
1,,"['(0.0, 0.0, 25.0, 24.0)', '(0.0, 0.0, 29.0, 29.0)']","[255.1, 255.3]",33,"(7653, 7659)","['', '']",Unknown,In Nest
1,,"['(0.0, 0.0, 24.0, 30.0)', '(0.0, 0.0, 35.0, 29.0)']","[255.66666666666666, 256.3333333333333]",34,"(7670, 7690)","['', '']",Unknown,In Nest
1,4.0,"['(0.0, 46.0, 37.0, 33.0)', '(111.0, 188.0, 41.0, 32.0)']","[333.73333333333335, 334.4]",35,"(10012, 10032)","['', '']",wasp,In Nest
1,,"['(1030.0, 252.0, 29.0, 37.0)', '(1146.5, 257.0, 34.5, 16.0)']","[336.3666666666667, 336.7]",36,"(10091, 10101)","['', '']",Unknown,In Nest
1,,"['(1254.0, 363.0, 26.0, 34.0)', '(559.0, 388.0, 49.0, 56.0)']","[337.96666666666664, 338.53333333333336]",37,"(10139, 10156)","['', '']",Unknown,In Nest
1,,"['(0.0, 10.0, 32.0, 26.0)', '(124.0, 155.0, 43.5, 34.5)']","[350.56666666666666, 351.46666666666664]",38,"(10517, 10544)","['', '']",Unknown,In Nest
1,4.0,"['(96.0, 346.0, 46.0, 41.0)', '(51.0, 355.0, 87.0, 24.0)']","[351.8333333333333, 352.1666666666667]",39,"(10555, 10565)","['', '']",wasp,In Nest
1,,"['(0.0, 213.0, 15.0, 32.0)', '(0.0, 262.0, 25.0, 32.0)']","[361.8666666666667, 362.6333333333333]",40,"(10856, 10879)","['', '']",Unknown,In Nest
1,,"['(0.0, 260.0, 22.0, 37.0)', '(0.0, 256.0, 15.0, 34.0)']","[362.7, 363.1333333333333]",41,"(10881, 10894)","['', '']",Unknown,In Nest
1,,"['(0.0, 165.0, 29.0, 32.0)', '(93.5, 179.5, 39.0, 20.0)']","[371.93333333333334, 372.1666666666667]",42,"(11158, 11165)","['', '']",Unknown,In Nest
1,,"['(200.0, 64.0, 22.0, 30.0)', '(0.0, 268.0, 30.0, 28.0)']","[373.6666666666667, 374.7]",43,"(11210, 11241)","['', '']",Unknown,In Nest
1,,"['(0.0, 240.0, 17.0, 40.0)', '(0.0, 256.0, 18.0, 23.0)']","[385.5, 385.96666666666664]",44,"(11565, 11579)","['', '']",Unknown,In Nest
1,4.0,"['(1193.0, 0.0, 87.0, 44.0)', '(912.5, 277.0, 36.0, 32.5)']","[395.3666666666667, 399.3666666666667]",45,"(11861, 11981)","['', 11]",wasp,Entering Nest
1,,"['(0.0, 175.0, 24.0, 29.0)', '(0.0, 257.0, 24.0, 28.0)']","[430.06666666666666, 431.03333333333336]",46,"(12902, 12931)","['', '']",Unknown,In Nest
1,,"['(0.0, 256.0, 23.0, 46.0)', '(0.0, 264.0, 16.0, 36.0)']","[431.1666666666667, 431.53333333333336]",47,"(12935, 12946)","['', '']",Unknown,In Nest
1,4.0,"['(917.0, 255.0, 17.0, 23.0)', '(933.0, 305.0, 30.0, 51.0)']","[432.8666666666667, 435.8333333333333]",48,"(12986, 13075)","[11, 11]",wasp,In Nest
1,,"['(25.0, 0.0, 31.0, 27.0)', '(80.0, 0.0, 28.0, 20.5)']","[520.5, 520.6666666666666]",49,"(15615, 15620)","['', '']",Unknown,In Nest
1,,"['(102.0, 0.0, 68.0, 20.0)', '(137.0, 0.0, 42.0, 15.0)']","[522.7666666666667, 523.0333333333333]",50,"(15683, 15691)","['', '']",Unknown,In Nest
1,,"['(169.0, 0.0, 50.0, 13.0)', '(169.0, 0.0, 51.0, 12.0)']","[530.9333333333333, 531.0]",51,"(15928, 15930)","['', '']",Unknown,In Nest
1,,"['(148.0, 0.0, 26.0, 14.0)', '(139.0, 0.0, 44.0, 14.0)']","[536.1666666666666, 537.2]",52,"(16085, 16116)","['', '']",Unknown,In Nest
1,0.0,"['(0.0, 406.0, 80.0, 97.0)', '(297.0, 80.0, 80.0, 51.0)']","[550.4, 553.6]",53,"(16512, 16608)","['', 3]",carpenter_bee,Entering Nest
1,,"['(295.0, 88.0, 23.0, 26.0)', '(314.0, 72.5, 21.0, 28.0)']","[563.7666666666667, 564.0]",54,"(16913, 16920)","[3, 3]",Unknown,In Nest
1,,"['(288.0, 86.0, 21.0, 29.0)', '(293.0, 87.0, 33.0, 29.0)']","[564.2, 564.6666666666666]",55,"(16926, 16940)","[3, 3]",Unknown,In Nest
1,0.0,"['(313.5, 70.0, 24.0, 25.5)', '(314.0, 77.5, 36.0, 39.5)']","[585.3, 591.8333333333334]",56,"(17559, 17755)","[3, 3]",carpenter_bee,In Nest
