frame,motions,detections,frame_motions,frame_detections
64,"(780.0, 288.0, 79.5, 91.0)","(0, 0, 0, 0)","[(749, 299, 140, 160), (811, 277, 19, 22)]",[]
65,"(772.0, 336.0, 62.25, 58.25)","(0, 0, 0, 0)","[(792, 360, 17, 40), (761, 353, 24, 27), (784, 330, 85, 118), (751, 301, 123, 48)]",[]
66,"(780.2, 336.6, 50.4, 53.4)","(0, 0, 0, 0)","[(786, 395, 54, 53), (794, 352, 23, 28), (768, 336, 28, 39), (778, 318, 37, 30), (775, 282, 110, 117)]",[]
67,"(716.0, 307.5, 114.5, 111.5)","(0, 0, 0, 0)","[(653, 314, 119, 78), (779, 301, 110, 145)]",[]
68,"(699.2, 345.6, 78.0, 58.6)","(0, 0, 0, 0)","[(788, 393, 54, 48), (652, 386, 29, 38), (720, 337, 31, 18), (607, 312, 119, 92), (729, 300, 157, 97)]",[]
69,"(674.0, 358.3333333333333, 62.166666666666664, 51.833333333333336)","(0, 0, 0, 0)","[(632, 411, 22, 27), (787, 394, 53, 51), (666, 371, 54, 31), (608, 346, 24, 20), (608, 328, 76, 87), (743, 300, 144, 95)]",[]
70,"(694.0, 342.0, 77.5, 67.0)","(0, 0, 0, 0)","[(795, 395, 45, 42), (608, 349, 23, 19), (614, 323, 115, 113), (759, 301, 127, 94)]",[]
71,"(726.3333333333334, 339.6666666666667, 92.33333333333333, 70.0)","(0, 0, 0, 0)","[(804, 396, 35, 29), (608, 322, 126, 87), (767, 301, 116, 94)]",[]
72,"(755.25, 325.75, 60.0, 55.25)","(0, 0, 0, 0)","[(804, 396, 34, 29), (767, 306, 85, 87), (842, 303, 35, 26), (608, 298, 86, 79)]",[]
73,"(766.4, 328.4, 53.0, 47.8)","(0, 0, 0, 0)","[(804, 396, 34, 29), (810, 373, 26, 21), (842, 304, 35, 25), (767, 304, 85, 72), (609, 265, 85, 92)]",[]
74,"(762.3333333333334, 337.0, 51.833333333333336, 37.666666666666664)","(0, 0, 0, 0)","[(803, 396, 35, 27), (810, 374, 26, 22), (802, 355, 38, 20), (761, 313, 87, 45), (793, 312, 57, 20), (605, 272, 68, 92)]",[]
75,"(746.0, 323.25, 42.0, 46.75)","(0, 0, 0, 0)","[(811, 374, 25, 20), (793, 316, 52, 58), (775, 316, 25, 32), (605, 287, 66, 77)]",[]
76,"(736.6666666666666, 326.6666666666667, 52.666666666666664, 37.0)","(0, 0, 0, 0)","[(807, 356, 31, 17), (796, 328, 45, 26), (607, 296, 82, 68)]",[]
77,"(606.0, 288.0, 63.0, 76.0)","(0, 0, 0, 0)","[(606, 288, 63, 76)]",[]
78,"(609.0, 303.0, 39.0, 37.5)","(0, 0, 0, 0)","[(607, 314, 32, 50), (611, 292, 46, 25)]",[]
79,"(607.5, 299.5, 43.0, 33.0)","(0, 0, 0, 0)","[(607, 330, 33, 34), (608, 269, 53, 32)]",[]
80,"(574.3333333333334, 271.3333333333333, 45.666666666666664, 36.666666666666664)","(0, 0, 0, 0)","[(606, 303, 43, 61), (512, 262, 25, 20), (605, 249, 69, 29)]",[]
81,"(568.6666666666666, 250.66666666666666, 51.666666666666664, 46.333333333333336)","(0, 0, 0, 0)","[(606, 287, 46, 76), (495, 254, 42, 24), (605, 211, 67, 39)]",[]
82,"(560.0, 259.3333333333333, 56.666666666666664, 40.0)","(0, 0, 0, 0)","[(606, 298, 63, 64), (468, 245, 70, 24), (606, 235, 37, 32)]",[]
83,"(522.0, 269.0, 96.5, 67.0)","(0, 0, 0, 0)","[(606, 297, 93, 51), (438, 241, 100, 83)]",[]
84,"(487.3333333333333, 266.0, 75.33333333333333, 51.0)","(0, 0, 0, 0)","[(606, 293, 88, 64), (437, 257, 100, 74), (419, 248, 38, 15)]",[]
85,"(472.6666666666667, 261.3333333333333, 92.33333333333333, 48.0)","(0, 0, 0, 0)","[(607, 298, 84, 53), (426, 256, 50, 54), (385, 230, 143, 37)]",[]
86,"(488.5, 260.0, 99.0, 63.0)","(0, 0, 0, 0)","[(607, 298, 84, 62), (370, 222, 114, 64)]",[]
87,"(486.0, 265.0, 91.0, 78.5)","(0, 0, 0, 0)","[(606, 299, 82, 62), (366, 231, 100, 95)]",[]
88,"(489.0, 274.5, 72.0, 72.0)","(0, 0, 0, 0)","[(606, 301, 64, 56), (372, 248, 80, 88)]",[]
89,"(435.0, 261.6666666666667, 39.333333333333336, 46.666666666666664)","(0, 0, 0, 0)","[(392, 292, 27, 32), (484, 253, 28, 33), (429, 240, 63, 75)]",[]
90,"(443.0, 284.0, 37.0, 44.5)","(0, 0, 0, 0)","[(390, 293, 30, 35), (496, 275, 44, 54)]",[]
91,"(493.3333333333333, 275.0, 50.666666666666664, 36.333333333333336)","(0, 0, 0, 0)","[(484, 300, 54, 30), (392, 293, 26, 31), (604, 232, 72, 48)]",[]
92,"(493.3333333333333, 264.3333333333333, 47.666666666666664, 72.0)","(0, 0, 0, 0)","[(390, 285, 28, 37), (606, 260, 62, 100), (484, 248, 53, 79)]",[]
93,"(521.0, 267.5, 50.75, 63.0)","(0, 0, 0, 0)","[(609, 294, 75, 105), (388, 287, 35, 41), (481, 249, 58, 71), (606, 240, 35, 35)]",[]
