frame,motions,detections,frame_motions,frame_detections
207,"(1233.3333333333333, 461.6666666666667, 46.666666666666664, 58.333333333333336)","(0, 0, 0, 0)","[(1230, 502, 50, 94), (1228, 455, 52, 52), (1242, 428, 38, 29)]",[]
208,"(1235.3333333333333, 465.3333333333333, 44.666666666666664, 51.666666666666664)","(0, 0, 0, 0)","[(1229, 526, 51, 70), (1232, 449, 48, 58), (1245, 421, 35, 27)]",[]
209,"(1237.6666666666667, 461.0, 42.333333333333336, 53.333333333333336)","(0, 0, 0, 0)","[(1239, 528, 41, 67), (1234, 442, 46, 63), (1240, 413, 40, 30)]",[]
210,"(1240.0, 457.0, 40.0, 50.333333333333336)","(0, 0, 0, 0)","[(1245, 528, 35, 56), (1233, 437, 47, 65), (1242, 406, 38, 30)]",[]
211,"(1230.6666666666667, 453.6666666666667, 49.333333333333336, 53.0)","(0, 0, 0, 0)","[(1242, 534, 38, 50), (1236, 433, 44, 67), (1214, 394, 66, 42)]",[]
212,"(1229.3333333333333, 453.3333333333333, 43.333333333333336, 56.0)","(0, 0, 0, 0)","[(1244, 528, 36, 54), (1241, 416, 39, 86), (1203, 416, 55, 28)]",[]
213,"(1216.6666666666667, 454.6666666666667, 49.666666666666664, 60.0)","(0, 0, 0, 0)","[(1247, 528, 33, 54), (1176, 426, 63, 34), (1227, 410, 53, 92)]",[]
214,"(1206.3333333333333, 457.6666666666667, 55.666666666666664, 61.333333333333336)","(0, 0, 0, 0)","[(1247, 532, 33, 47), (1163, 430, 63, 38), (1209, 411, 71, 99)]",[]
215,"(1199.3333333333333, 462.0, 63.666666666666664, 55.666666666666664)","(0, 0, 0, 0)","[(1248, 533, 32, 46), (1154, 442, 75, 30), (1196, 411, 84, 91)]",[]
216,"(1202.0, 462.3333333333333, 60.333333333333336, 53.333333333333336)","(0, 0, 0, 0)","[(1249, 535, 31, 43), (1158, 441, 69, 30), (1199, 411, 81, 87)]",[]
217,"(1220.25, 463.75, 49.25, 38.5)","(0, 0, 0, 0)","[(1252, 539, 28, 38), (1249, 466, 31, 28), (1165, 437, 73, 32), (1215, 413, 65, 56)]",[]
218,"(1224.0, 463.3333333333333, 45.333333333333336, 37.666666666666664)","(0, 0, 0, 0)","[(1255, 541, 25, 36), (1201, 436, 47, 34), (1216, 413, 64, 43)]",[]
219,"(1218.75, 458.5, 39.0, 32.25)","(0, 0, 0, 0)","[(1255, 542, 25, 35), (1181, 444, 35, 26), (1208, 435, 47, 31), (1231, 413, 49, 37)]",[]
220,"(1224.5, 453.75, 39.75, 33.25)","(0, 0, 0, 0)","[(1257, 542, 23, 34), (1169, 437, 66, 33), (1262, 420, 18, 28), (1210, 416, 52, 38)]",[]
221,"(1205.0, 415.0, 61.666666666666664, 35.333333333333336)","(0, 0, 0, 0)","[(1173, 432, 84, 38), (1250, 416, 30, 31), (1192, 397, 71, 37)]",[]
222,"(1178.5, 397.5, 87.0, 46.5)","(0, 0, 0, 0)","[(1176, 409, 104, 59), (1181, 386, 70, 34)]",[]
223,"(1175.0, 391.0, 80.5, 50.0)","(0, 0, 0, 0)","[(1181, 403, 99, 65), (1169, 379, 62, 35)]",[]
224,"(1168.5, 380.0, 75.0, 58.5)","(0, 0, 0, 0)","[(1183, 391, 97, 76), (1154, 369, 53, 41)]",[]
225,"(1148.0, 368.0, 85.5, 63.0)","(0, 0, 0, 0)","[(1172, 383, 108, 87), (1124, 353, 63, 39)]",[]
226,"(1126.5, 349.5, 101.0, 71.5)","(0, 0, 0, 0)","[(1140, 367, 140, 106), (1113, 332, 62, 37)]",[]
227,"(1119.0, 338.0, 103.5, 75.0)","(0, 0, 0, 0)","[(1138, 353, 142, 115), (1100, 323, 65, 35)]",[]
228,"(1091.5, 340.0, 117.0, 85.0)","(0, 0, 0, 0)","[(1080, 349, 58, 32), (1103, 331, 176, 138)]",[]
229,"(1067.0, 351.5, 118.5, 89.0)","(0, 0, 0, 0)","[(1053, 374, 65, 40), (1081, 329, 172, 138)]",[]
230,"(1056.0, 360.5, 118.5, 89.0)","(0, 0, 0, 0)","[(1032, 392, 66, 39), (1080, 329, 171, 139)]",[]
231,"(1056.6666666666667, 365.6666666666667, 90.66666666666667, 68.66666666666667)","(0, 0, 0, 0)","[(1019, 391, 66, 44), (1070, 374, 36, 28), (1081, 332, 170, 134)]",[]
232,"(1096.6666666666667, 382.6666666666667, 91.66666666666667, 56.666666666666664)","(0, 0, 0, 0)","[(1187, 424, 62, 40), (1016, 391, 64, 41), (1087, 333, 149, 89)]",[]
233,"(1086.0, 387.6, 64.4, 39.4)","(0, 0, 0, 0)","[(1187, 430, 59, 34), (1060, 404, 32, 26), (1076, 389, 31, 15), (1019, 381, 56, 36), (1088, 334, 144, 86)]",[]
234,"(1080.4, 383.8, 67.6, 41.4)","(0, 0, 0, 0)","[(1184, 433, 59, 31), (1046, 397, 46, 33), (1070, 383, 34, 19), (1012, 372, 59, 39), (1090, 334, 140, 85)]",[]
235,"(1082.0, 379.2, 69.6, 43.0)","(0, 0, 0, 0)","[(1190, 434, 44, 28), (1000, 393, 61, 37), (1020, 380, 83, 51), (1091, 355, 38, 16), (1109, 334, 122, 83)]",[]
236,"(1091.0, 387.0, 63.6, 38.8)","(0, 0, 0, 0)","[(1192, 439, 39, 21), (982, 408, 63, 39), (1010, 378, 92, 52), (1163, 376, 65, 39), (1108, 334, 59, 43)]",[]
237,"(1091.0, 389.0, 56.0, 37.4)","(0, 0, 0, 0)","[(1197, 443, 26, 21), (977, 411, 56, 44), (1166, 378, 52, 30), (1005, 378, 97, 52), (1110, 335, 49, 40)]",[]
238,"(1035.6666666666667, 374.3333333333333, 54.0, 37.333333333333336)","(0, 0, 0, 0)","[(979, 408, 49, 38), (1018, 379, 68, 49), (1110, 336, 45, 25)]",[]
239,"(1025.0, 383.25, 47.0, 32.25)","(0, 0, 0, 0)","[(978, 420, 49, 26), (985, 393, 41, 36), (1025, 382, 59, 47), (1112, 338, 39, 20)]",[]
240,"(1026.6666666666667, 361.6666666666667, 57.0, 39.666666666666664)","(0, 0, 0, 0)","[(979, 377, 106, 69), (987, 370, 30, 33), (1114, 338, 35, 17)]",[]
241,"(1048.5, 359.0, 66.0, 39.0)","(0, 0, 0, 0)","[(979, 379, 102, 64), (1118, 339, 30, 14)]",[]
242,"(979.0, 377.0, 108.0, 64.0)","(0, 0, 0, 0)","[(979, 377, 108, 64)]",[]
243,"(980.0, 380.0, 100.0, 61.0)","(0, 0, 0, 0)","[(980, 380, 100, 61)]",[]
244,"(981.0, 383.0, 97.0, 57.0)","(0, 0, 0, 0)","[(981, 383, 97, 57)]",[]
245,"(981.0, 384.0, 95.0, 56.0)","(0, 0, 0, 0)","[(981, 384, 95, 56)]",[]
246,"(981.0, 385.0, 93.0, 54.0)","(0, 0, 0, 0)","[(981, 385, 93, 54)]",[]
247,"(982.0, 387.0, 92.0, 51.0)","(0, 0, 0, 0)","[(982, 387, 92, 51)]",[]
248,"(1001.5, 393.5, 47.0, 35.0)","(0, 0, 0, 0)","[(979, 400, 46, 39), (1024, 387, 48, 31)]",[]
249,"(1004.0, 396.0, 42.0, 31.5)","(0, 0, 0, 0)","[(982, 404, 41, 34), (1026, 388, 43, 29)]",[]
250,"(1007.0, 397.5, 37.5, 27.5)","(0, 0, 0, 0)","[(983, 406, 38, 29), (1031, 389, 37, 26)]",[]
251,"(1008.0, 400.0, 34.0, 22.5)","(0, 0, 0, 0)","[(984, 410, 35, 24), (1032, 390, 33, 21)]",[]
252,"(985.0, 411.0, 29.0, 19.0)","(0, 0, 0, 0)","[(985, 411, 29, 19)]",[]
253,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
254,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
255,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
256,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
257,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
258,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
259,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
260,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
261,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
262,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
263,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
264,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
265,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
266,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
267,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
268,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
269,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
270,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
271,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
272,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
273,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
274,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
275,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
276,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
277,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
278,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
279,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
280,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
281,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
282,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
283,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
284,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
285,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
286,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
287,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
288,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
289,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
290,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
291,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
292,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
293,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
294,"(1016.0, 294.0, 24.0, 33.0)","(0, 0, 0, 0)","[(1016, 294, 24, 33)]",[]
295,"(1018.0, 286.0, 54.0, 52.0)","(0, 0, 0, 0)","[(1018, 286, 54, 52)]",[]
296,"(1021.0, 282.0, 67.5, 51.0)","(0, 0, 0, 0)","[(1017, 301, 50, 33), (1025, 263, 85, 69)]",[]
297,"(1026.0, 267.5, 82.0, 56.5)","(0, 0, 0, 0)","[(1016, 278, 81, 55), (1036, 257, 83, 58)]",[]
298,"(1042.6666666666667, 280.0, 60.666666666666664, 48.0)","(0, 0, 0, 0)","[(1073, 303, 31, 26), (1018, 277, 54, 55), (1037, 260, 97, 63)]",[]
299,"(1028.0, 268.5, 83.0, 66.0)","(0, 0, 0, 0)","[(1018, 276, 50, 56), (1038, 261, 116, 76)]",[]
300,"(1020.0, 260.0, 141.0, 105.0)","(0, 0, 0, 0)","[(1020, 260, 141, 105)]",[]
301,"(1019.0, 259.0, 174.0, 102.0)","(0, 0, 0, 0)","[(1019, 259, 174, 102)]",[]
302,"(1019.0, 260.0, 202.0, 104.0)","(0, 0, 0, 0)","[(1019, 260, 202, 104)]",[]
303,"(1017.0, 240.0, 221.0, 133.0)","(0, 0, 0, 0)","[(1017, 240, 221, 133)]",[]
304,"(1020.0, 223.0, 225.0, 135.0)","(0, 0, 0, 0)","[(1020, 223, 225, 135)]",[]
305,"(1020.0, 233.0, 224.0, 125.0)","(0, 0, 0, 0)","[(1020, 233, 224, 125)]",[]
306,"(1020.0, 255.0, 224.0, 102.0)","(0, 0, 0, 0)","[(1020, 255, 224, 102)]",[]
307,"(1020.0, 246.0, 224.0, 111.0)","(0, 0, 0, 0)","[(1020, 246, 224, 111)]",[]
308,"(1057.5, 249.0, 124.0, 96.0)","(0, 0, 0, 0)","[(1014, 260, 105, 73), (1101, 238, 143, 119)]",[]
309,"(982.0, 243.0, 261.0, 122.0)","(0, 0, 0, 0)","[(982, 243, 261, 122)]",[]
310,"(970.0, 245.0, 274.0, 125.0)","(0, 0, 0, 0)","[(970, 245, 274, 125)]",[]
311,"(964.0, 246.0, 279.0, 109.0)","(0, 0, 0, 0)","[(964, 246, 279, 109)]",[]
312,"(985.3333333333334, 293.0, 111.66666666666667, 69.66666666666667)","(0, 0, 0, 0)","[(976, 339, 20, 34), (957, 294, 95, 67), (1023, 246, 220, 108)]",[]
313,"(951.5, 281.0, 194.5, 93.0)","(0, 0, 0, 0)","[(920, 315, 129, 81), (983, 247, 260, 105)]",[]
314,"(964.0, 294.0, 182.5, 100.0)","(0, 0, 0, 0)","[(938, 342, 113, 91), (990, 246, 252, 109)]",[]
315,"(952.5, 296.5, 191.0, 111.5)","(0, 0, 0, 0)","[(913, 346, 132, 108), (992, 247, 250, 115)]",[]
316,"(933.0, 253.0, 307.0, 207.0)","(0, 0, 0, 0)","[(933, 253, 307, 207)]",[]
317,"(935.0, 254.0, 301.0, 206.0)","(0, 0, 0, 0)","[(935, 254, 301, 206)]",[]
318,"(935.0, 254.0, 300.0, 203.0)","(0, 0, 0, 0)","[(935, 254, 300, 203)]",[]
319,"(971.5, 299.5, 177.5, 109.5)","(0, 0, 0, 0)","[(942, 343, 121, 115), (1001, 256, 234, 104)]",[]
320,"(965.3333333333334, 317.0, 124.33333333333333, 77.66666666666667)","(0, 0, 0, 0)","[(951, 349, 23, 20), (944, 345, 118, 113), (1001, 257, 232, 100)]",[]
321,"(975.5, 301.0, 172.0, 106.0)","(0, 0, 0, 0)","[(946, 345, 116, 113), (1005, 257, 228, 99)]",[]
322,"(976.5, 299.0, 170.5, 108.0)","(0, 0, 0, 0)","[(947, 340, 115, 118), (1006, 258, 226, 98)]",[]
323,"(978.5, 305.0, 168.0, 101.5)","(0, 0, 0, 0)","[(950, 351, 113, 107), (1007, 259, 223, 96)]",[]
324,"(979.0, 304.5, 150.5, 101.0)","(0, 0, 0, 0)","[(949, 351, 113, 107), (1009, 258, 188, 95)]",[]
325,"(978.5, 302.5, 144.5, 102.0)","(0, 0, 0, 0)","[(945, 345, 117, 112), (1012, 260, 172, 92)]",[]
326,"(1026.6666666666667, 293.6666666666667, 96.0, 74.0)","(0, 0, 0, 0)","[(942, 349, 120, 108), (1013, 272, 109, 78), (1125, 260, 59, 36)]",[]
327,"(1029.3333333333333, 295.6666666666667, 90.0, 68.0)","(0, 0, 0, 0)","[(943, 351, 119, 106), (1017, 272, 103, 68), (1128, 264, 48, 30)]",[]
328,"(984.0, 306.5, 106.0, 81.5)","(0, 0, 0, 0)","[(942, 341, 119, 116), (1026, 272, 93, 47)]",[]
329,"(983.5, 312.0, 103.0, 75.5)","(0, 0, 0, 0)","[(939, 348, 123, 109), (1028, 276, 83, 42)]",[]
330,"(983.0, 312.0, 100.0, 66.5)","(0, 0, 0, 0)","[(937, 348, 124, 108), (1029, 276, 76, 25)]",[]
331,"(985.5, 311.5, 97.0, 64.5)","(0, 0, 0, 0)","[(936, 344, 125, 112), (1035, 279, 69, 17)]",[]
332,"(936.0, 349.0, 80.5, 80.5)","(0, 0, 0, 0)","[(936, 355, 36, 48), (936, 343, 125, 113)]",[]
333,"(933.0, 342.0, 128.0, 115.0)","(0, 0, 0, 0)","[(933, 342, 128, 115)]",[]
334,"(932.0, 341.0, 129.0, 114.0)","(0, 0, 0, 0)","[(932, 341, 129, 114)]",[]
335,"(929.0, 339.0, 131.0, 116.0)","(0, 0, 0, 0)","[(929, 339, 131, 116)]",[]
336,"(925.0, 329.0, 135.0, 125.0)","(0, 0, 0, 0)","[(925, 329, 135, 125)]",[]
337,"(922.0, 331.0, 139.0, 123.0)","(0, 0, 0, 0)","[(922, 331, 139, 123)]",[]
338,"(921.0, 318.0, 140.0, 135.0)","(0, 0, 0, 0)","[(921, 318, 140, 135)]",[]
339,"(941.6666666666666, 349.0, 67.66666666666667, 68.66666666666667)","(0, 0, 0, 0)","[(941, 383, 61, 70), (962, 334, 98, 73), (922, 330, 44, 63)]",[]
340,"(927.0, 346.5, 80.0, 76.5)","(0, 0, 0, 0)","[(930, 362, 24, 31), (924, 331, 136, 122)]",[]
341,"(939.75, 358.25, 47.5, 54.25)","(0, 0, 0, 0)","[(943, 409, 27, 26), (933, 362, 22, 31), (958, 331, 102, 121), (925, 331, 39, 39)]",[]
342,"(950.8, 360.6, 44.4, 45.2)","(0, 0, 0, 0)","[(943, 409, 28, 25), (959, 390, 42, 63), (963, 342, 97, 65), (963, 331, 18, 32), (926, 331, 37, 41)]",[]
343,"(953.25, 347.75, 48.25, 49.75)","(0, 0, 0, 0)","[(960, 390, 41, 60), (963, 340, 96, 67), (962, 331, 22, 31), (928, 330, 34, 41)]",[]
344,"(951.0, 347.5, 49.0, 49.25)","(0, 0, 0, 0)","[(961, 391, 41, 57), (962, 338, 97, 69), (953, 331, 26, 28), (928, 330, 32, 43)]",[]
345,"(949.6, 366.6, 45.8, 45.4)","(0, 0, 0, 0)","[(939, 399, 30, 35), (965, 393, 36, 54), (960, 383, 30, 27), (958, 329, 101, 77), (926, 329, 32, 34)]",[]
346,"(919.0, 341.0, 84.0, 68.5)","(0, 0, 0, 0)","[(925, 355, 22, 18), (913, 327, 146, 119)]",[]
347,"(922.0, 336.0, 71.33333333333333, 57.666666666666664)","(0, 0, 0, 0)","[(925, 354, 22, 19), (905, 328, 70, 34), (936, 326, 122, 120)]",[]
348,"(943.5, 359.0, 85.5, 66.5)","(0, 0, 0, 0)","[(968, 394, 32, 51), (919, 324, 139, 82)]",[]
349,"(923.5, 354.0, 85.0, 84.0)","(0, 0, 0, 0)","[(935, 386, 24, 46), (912, 322, 146, 122)]",[]
350,"(913.0, 316.0, 145.0, 127.0)","(0, 0, 0, 0)","[(913, 316, 145, 127)]",[]
351,"(914.0, 324.0, 144.0, 118.0)","(0, 0, 0, 0)","[(914, 324, 144, 118)]",[]
352,"(935.5, 315.0, 85.5, 93.5)","(0, 0, 0, 0)","[(958, 324, 99, 118), (913, 306, 72, 69)]",[]
353,"(907.0, 304.0, 150.0, 138.0)","(0, 0, 0, 0)","[(907, 304, 150, 138)]",[]
354,"(952.5, 320.0, 103.0, 83.5)","(0, 0, 0, 0)","[(994, 324, 60, 42), (911, 316, 146, 125)]",[]
355,"(953.0, 318.5, 101.5, 84.0)","(0, 0, 0, 0)","[(994, 324, 59, 41), (912, 313, 144, 127)]",[]
356,"(970.0, 335.3333333333333, 67.33333333333333, 67.0)","(0, 0, 0, 0)","[(1002, 370, 54, 32), (995, 325, 60, 41), (913, 311, 88, 128)]",[]
357,"(964.3333333333334, 332.0, 72.33333333333333, 69.66666666666667)","(0, 0, 0, 0)","[(1007, 373, 49, 27), (975, 320, 79, 46), (911, 303, 89, 136)]",[]
358,"(961.5, 341.0, 93.0, 78.5)","(0, 0, 0, 0)","[(1012, 376, 44, 24), (911, 306, 142, 133)]",[]
359,"(912.0, 306.0, 140.0, 133.0)","(0, 0, 0, 0)","[(912, 306, 140, 133)]",[]
360,"(912.0, 303.0, 142.0, 132.0)","(0, 0, 0, 0)","[(912, 303, 142, 132)]",[]
361,"(927.5, 320.0, 96.5, 77.5)","(0, 0, 0, 0)","[(943, 340, 53, 94), (912, 300, 140, 61)]",[]
362,"(928.6666666666666, 323.3333333333333, 71.0, 61.0)","(0, 0, 0, 0)","[(941, 340, 62, 94), (914, 329, 30, 30), (931, 301, 121, 59)]",[]
363,"(930.0, 323.6666666666667, 66.33333333333333, 61.333333333333336)","(0, 0, 0, 0)","[(942, 340, 52, 95), (916, 331, 27, 28), (932, 300, 120, 61)]",[]
364,"(937.25, 321.75, 50.5, 50.25)","(0, 0, 0, 0)","[(945, 347, 48, 86), (916, 331, 26, 31), (952, 310, 99, 52), (936, 299, 29, 32)]",[]
365,"(936.0, 326.5, 53.75, 43.0)","(0, 0, 0, 0)","[(944, 369, 54, 60), (912, 328, 32, 37), (952, 311, 99, 49), (936, 298, 30, 26)]",[]
366,"(943.5, 340.25, 51.0, 40.25)","(0, 0, 0, 0)","[(948, 374, 44, 45), (957, 340, 36, 37), (914, 336, 28, 30), (955, 311, 96, 49)]",[]
367,"(946.75, 340.75, 46.25, 38.75)","(0, 0, 0, 0)","[(962, 375, 29, 40), (956, 341, 36, 36), (914, 336, 28, 30), (955, 311, 92, 49)]",[]
368,"(951.25, 327.25, 38.0, 41.75)","(0, 0, 0, 0)","[(956, 352, 45, 63), (912, 327, 23, 36), (984, 322, 63, 37), (953, 308, 21, 31)]",[]
369,"(942.5, 327.0, 56.75, 47.75)","(0, 0, 0, 0)","[(952, 352, 48, 59), (915, 328, 60, 40), (992, 323, 55, 35), (911, 305, 64, 57)]",[]
370,"(962.0, 327.0, 44.0, 41.333333333333336)","(0, 0, 0, 0)","[(953, 352, 43, 58), (993, 323, 55, 35), (940, 306, 34, 31)]",[]
371,"(941.25, 322.5, 52.5, 47.75)","(0, 0, 0, 0)","[(952, 343, 46, 68), (932, 328, 44, 23), (968, 312, 79, 45), (913, 307, 41, 55)]",[]
372,"(920.3333333333334, 321.3333333333333, 79.66666666666667, 57.666666666666664)","(0, 0, 0, 0)","[(937, 360, 64, 50), (910, 306, 42, 55), (914, 298, 133, 68)]",[]
373,"(938.75, 324.5, 62.0, 50.25)","(0, 0, 0, 0)","[(936, 360, 64, 50), (951, 339, 33, 30), (962, 304, 84, 53), (906, 295, 67, 68)]",[]
374,"(936.6666666666666, 311.0, 69.33333333333333, 64.33333333333333)","(0, 0, 0, 0)","[(937, 339, 63, 68), (969, 306, 77, 51), (904, 288, 68, 74)]",[]
375,"(920.5, 314.5, 102.5, 68.5)","(0, 0, 0, 0)","[(938, 339, 62, 66), (903, 290, 143, 71)]",[]
376,"(915.6666666666666, 310.6666666666667, 80.0, 63.333333333333336)","(0, 0, 0, 0)","[(938, 339, 63, 66), (901, 307, 39, 49), (908, 286, 138, 75)]",[]
377,"(934.0, 309.6666666666667, 74.66666666666667, 65.0)","(0, 0, 0, 0)","[(938, 360, 62, 45), (965, 297, 80, 59), (899, 272, 82, 91)]",[]
378,"(933.3333333333334, 304.3333333333333, 74.33333333333333, 70.0)","(0, 0, 0, 0)","[(939, 351, 60, 53), (961, 294, 84, 62), (900, 268, 79, 95)]",[]
379,"(934.6666666666666, 304.3333333333333, 72.0, 67.33333333333333)","(0, 0, 0, 0)","[(941, 355, 58, 45), (963, 293, 81, 62), (900, 265, 77, 95)]",[]
380,"(933.0, 305.0, 73.66666666666667, 66.0)","(0, 0, 0, 0)","[(939, 360, 61, 38), (963, 291, 81, 64), (897, 264, 79, 96)]",[]
381,"(933.6666666666666, 302.6666666666667, 73.33333333333333, 68.33333333333333)","(0, 0, 0, 0)","[(941, 360, 59, 38), (964, 290, 80, 65), (896, 258, 81, 102)]",[]
382,"(934.0, 303.0, 71.66666666666667, 69.0)","(0, 0, 0, 0)","[(941, 356, 55, 42), (964, 290, 80, 65), (897, 263, 80, 100)]",[]
383,"(930.0, 281.3333333333333, 72.66666666666667, 80.33333333333333)","(0, 0, 0, 0)","[(897, 298, 99, 99), (964, 288, 79, 67), (929, 258, 40, 75)]",[]
384,"(936.6666666666666, 302.6666666666667, 70.0, 65.66666666666667)","(0, 0, 0, 0)","[(948, 346, 46, 44), (966, 290, 77, 65), (896, 272, 87, 88)]",[]
385,"(927.3333333333334, 288.3333333333333, 57.0, 66.66666666666667)","(0, 0, 0, 0)","[(990, 300, 52, 54), (893, 289, 25, 33), (899, 276, 94, 113)]",[]
386,"(879.5, 270.5, 91.0, 76.5)","(0, 0, 0, 0)","[(861, 284, 38, 27), (898, 257, 144, 126)]",[]
387,"(878.0, 264.0, 162.0, 119.0)","(0, 0, 0, 0)","[(878, 264, 162, 119)]",[]
388,"(860.0, 271.5, 115.0, 108.0)","(0, 0, 0, 0)","[(885, 280, 155, 104), (835, 263, 75, 112)]",[]
389,"(841.6, 290.0, 61.2, 58.8)","(0, 0, 0, 0)","[(848, 307, 22, 35), (814, 306, 42, 63), (862, 295, 33, 19), (896, 280, 143, 108), (788, 262, 66, 69)]",[]
390,"(816.6666666666666, 288.3333333333333, 70.33333333333333, 99.0)","(0, 0, 0, 0)","[(774, 317, 16, 63), (887, 282, 152, 107), (789, 266, 43, 127)]",[]
391,"(800.5, 298.0, 123.0, 105.5)","(0, 0, 0, 0)","[(745, 314, 64, 102), (856, 282, 182, 109)]",[]
392,"(757.4, 323.6, 80.6, 45.6)","(0, 0, 0, 0)","[(729, 348, 80, 61), (681, 335, 76, 23), (777, 327, 34, 15), (747, 326, 28, 23), (853, 282, 185, 106)]",[]
393,"(738.5, 297.5, 86.0, 62.5)","(0, 0, 0, 0)","[(732, 322, 62, 27), (700, 302, 48, 94), (671, 287, 48, 22), (851, 279, 186, 107)]",[]
394,"(752.6666666666666, 297.3333333333333, 122.33333333333333, 80.0)","(0, 0, 0, 0)","[(792, 328, 41, 22), (858, 282, 179, 103), (608, 282, 147, 115)]",[]
395,"(741.5, 312.5, 92.25, 62.25)","(0, 0, 0, 0)","[(791, 330, 43, 22), (698, 318, 27, 25), (616, 317, 123, 102), (861, 285, 176, 100)]",[]
396,"(787.75, 312.5, 81.25, 61.75)","(0, 0, 0, 0)","[(609, 338, 128, 86), (651, 319, 42, 24), (1001, 307, 35, 41), (890, 286, 120, 96)]",[]
397,"(758.1666666666666, 334.1666666666667, 45.666666666666664, 48.666666666666664)","(0, 0, 0, 0)","[(670, 387, 20, 27), (667, 354, 18, 34), (643, 345, 37, 16), (680, 321, 50, 84), (999, 308, 36, 39), (890, 290, 113, 92)]",[]
398,"(798.75, 315.0, 60.25, 67.25)","(0, 0, 0, 0)","[(672, 388, 24, 25), (1004, 308, 31, 39), (894, 289, 100, 86), (625, 275, 86, 119)]",[]
399,"(773.0, 321.0, 48.4, 54.4)","(0, 0, 0, 0)","[(672, 388, 22, 29), (684, 358, 25, 36), (1004, 306, 30, 40), (896, 290, 95, 85), (609, 263, 70, 82)]",[]
400,"(801.75, 302.5, 46.25, 50.5)","(0, 0, 0, 0)","[(700, 320, 18, 40), (1004, 309, 29, 36), (897, 293, 90, 78), (606, 288, 48, 48)]",[]
401,"(864.5, 309.25, 46.0, 47.0)","(0, 0, 0, 0)","[(950, 342, 22, 28), (1008, 309, 24, 35), (897, 296, 82, 56), (603, 290, 56, 69)]",[]
402,"(768.4, 309.6, 45.4, 47.6)","(0, 0, 0, 0)","[(684, 360, 24, 29), (1005, 323, 27, 20), (648, 309, 45, 37), (897, 297, 73, 55), (608, 259, 58, 97)]",[]
403,"(724.0, 299.3333333333333, 69.0, 75.33333333333333)","(0, 0, 0, 0)","[(669, 359, 49, 56), (897, 297, 71, 55), (606, 242, 87, 115)]",[]
404,"(760.75, 288.75, 48.25, 49.25)","(0, 0, 0, 0)","[(898, 323, 36, 29), (907, 300, 59, 25), (632, 300, 27, 21), (606, 232, 71, 122)]",[]
405,"(567.0, 263.0, 44.333333333333336, 42.333333333333336)","(0, 0, 0, 0)","[(488, 274, 51, 30), (607, 269, 64, 75), (606, 246, 18, 22)]",[]
406,"(523.8, 292.8, 61.4, 57.8)","(0, 0, 0, 0)","[(421, 325, 50, 25), (696, 320, 26, 24), (478, 298, 47, 33), (418, 270, 62, 52), (606, 251, 122, 155)]",[]
407,"(524.5, 297.5, 64.75, 70.75)","(0, 0, 0, 0)","[(667, 346, 57, 65), (448, 324, 42, 26), (376, 268, 69, 94), (607, 252, 91, 98)]",[]
